23.01.2026                                                                                 Salida dinámica de lista                                                                                         1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Ce. |Alm.|CMv|Razión|Registrado|Hora    |Doc.mat.  |Usuario   |Fecha doc.|Material|Texto breve de material                 |Lote  |Cantidad|   Impte.ML|Txt.cab.doc.  |Pedido|Proveedor|Txt clase-mov.    |
| 4100|4186|YR1|  2521|02.02.2025|05:54:51|7810074554|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z80012|      1-|       736-|4186 258850948|      |         |SM Ventas Retail  |
| 4100|4186|YR1|  2521|02.02.2025|05:54:51|7810074553|UC4USER   |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z80012|      1-|       736-|4186 258881060|      |         |SM Ventas Retail  |
| 4100|4185|YR1|  2521|02.02.2025|05:54:51|7810074555|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4185 258809497|      |         |SM Ventas Retail  |
| 4100|4184|YR1|  2521|02.02.2025|05:54:51|7810074556|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4184 258844406|      |         |SM Ventas Retail  |
| 4100|4183|YR1|  2521|02.02.2025|05:54:51|7810074557|UC4USER   |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4183 258852379|      |         |SM Ventas Retail  |
| 4100|4192|YR1|  2521|02.02.2025|05:54:01|7810075516|WF-BATCH  |01.02.2025|50297851|ESSENCIAL CLASS FEM EDP 50ML 2021 COL   |Z7PB02|      1-|     3.185-|4192 258811714|      |         |SM Ventas Retail  |
| 4100|4191|YR1|  2521|02.02.2025|05:54:01|7810074863|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z60009|      1-|       736-|4191 258847250|      |         |SM Ventas Retail  |
| 4100|4190|YR1|  2521|02.02.2025|05:54:01|7810075708|WF-BATCH  |01.02.2025|50303570|TODODIA SPRAY PERFUMADO CEREJA 200ML    |Z60094|      1-|     1.313-|4190 258866425|      |         |SM Ventas Retail  |
| 4100|4190|YR1|  2521|02.02.2025|05:54:01|7810075046|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4190 258866397|      |         |SM Ventas Retail  |
| 4100|4191|YR1|  2521|02.02.2025|05:54:01|7810075322|WF-BATCH  |01.02.2025|50458575|EKOS SAB LIQ TUKUMA ESFOL ES 185ML      |Z10001|      1-|     1.178-|4191 258847311|      |         |SM Ventas Retail  |
| 4100|4190|YR1|  2521|02.02.2025|05:54:01|7810074164|WF-BATCH  |01.02.2025|50462180|TODODIA SAB LIQ CEREJA E AVELA 300ML    |Z50012|      1-|     1.060-|4190 258866425|      |         |SM Ventas Retail  |
| 4100|4187|YR1|  2521|02.02.2025|05:53:57|7810076096|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z80012|      1-|       736-|4187 258856472|      |         |SM Ventas Retail  |
| 4100|4187|YR1|  2521|02.02.2025|05:53:57|7810074651|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z80012|      1-|       736-|4187 258771772|      |         |SM Ventas Retail  |
| 4100|4187|YR1|  2521|02.02.2025|05:53:57|7810074366|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z80012|      1-|       736-|4187 258856431|      |         |SM Ventas Retail  |
| 4100|4190|YR1|  2521|02.02.2025|05:53:57|7810075421|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z90014|      1-|       736-|4190 258725412|      |         |SM Ventas Retail  |
| 4100|4190|YR1|  2521|02.02.2025|05:53:57|7810074862|WF-BATCH  |01.02.2025|50303570|TODODIA SPRAY PERFUMADO CEREJA 200ML    |Z60094|      1-|     1.313-|4190 258866387|      |         |SM Ventas Retail  |
| 4100|4190|YR1|  2521|02.02.2025|05:53:57|7810075125|WF-BATCH  |01.02.2025|50303570|TODODIA SPRAY PERFUMADO CEREJA 200ML    |Z60094|      1-|     1.313-|4190 258866385|      |         |SM Ventas Retail  |
| 4100|4186|YR1|  2521|02.02.2025|05:53:57|7810075910|WF-BATCH  |01.02.2025|50374276|ESSENCIAL EXCLUSIVO FEM EDP 100ML LTM NV|Z30002|      1-|     4.660-|4186 258881073|      |         |SM Ventas Retail  |
| 4100|4187|YR1|  2521|02.02.2025|05:53:57|7810075045|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4187 258856485|      |         |SM Ventas Retail  |
| 4100|4183|YR1|  2521|02.02.2025|05:53:54|7810075707|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |ZA0015|      1-|       736-|4183 258852391|      |         |SM Ventas Retail  |
| 4100|4185|YR1|  2521|02.02.2025|05:53:54|7810074650|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |ZA0015|      1-|       736-|4185 258809556|      |         |SM Ventas Retail  |
| 4100|4186|YR1|  2521|02.02.2025|05:53:54|7810075648|WF-BATCH  |01.02.2025|50301036|EKOS HID POLPA MAOS PITANGA 75G LTM     |Z80012|      1-|       736-|4186 258850939|      |         |SM Ventas Retail  |
| 4100|4185|YR1|  2521|02.02.2025|05:53:54|7810075420|WF-BATCH  |01.02.2025|50449703|EKOS SAB LIQ HIDRAT ESF CORP ACAI 185ML |Z40001|      1-|     1.193-|4185 258855224|      |         |SM Ventas Retail  |
